#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       7.803060e-03       3.058228e-04       4.413922e-03       1.672647e-01       4.189026e-03       3.753212e-02
        2000       9.653993e-03       9.832521e-04       5.230263e-03       1.855649e-01       9.962977e-03       3.577413e-02
        4000       1.029488e-02       3.384355e-04       5.346492e-03       1.467739e-01       1.018752e-02       3.755627e-02
        6000       6.545663e-03       5.743631e-04       3.447301e-03       1.624934e-01       7.694308e-03       3.840172e-02
        8000       1.086966e-02       3.211242e-04       5.831120e-03       1.322514e-01       8.807349e-03       3.660517e-02
       10000       7.705775e-03       4.467391e-04       4.280955e-03       1.611220e-01       8.422307e-03       3.444368e-02
       12000       7.544776e-03       1.111562e-03       4.174144e-03       1.889090e-01       7.108599e-03       4.042110e-02
       14000       8.562305e-03       5.605423e-04       4.506369e-03       1.352939e-01       7.970413e-03       3.517032e-02
       16000       9.679302e-03       8.298477e-04       4.990080e-03       2.772812e-01       7.493267e-03       3.846358e-02
       18000       1.145198e-02       1.245721e-03       6.452580e-03       1.699581e-01       9.063684e-03       3.854235e-02
       20000       8.051982e-03       4.718054e-04       4.490292e-03       1.010745e-01       9.594459e-03       3.202133e-02
       22000       9.425983e-03       3.668728e-04       5.346453e-03       2.151247e-01       9.442047e-03       3.919389e-02
       24000       1.156991e-02       3.980368e-04       6.287051e-03       1.723810e-01       7.856861e-03       3.675932e-02
       26000       9.030533e-03       7.832852e-04       4.975979e-03       1.377775e-01       8.162148e-03       3.464997e-02
       28000       1.432578e-02       5.700990e-04       7.805719e-03       1.980363e-01       8.834917e-03       3.855520e-02
       30000       9.696048e-03       1.025252e-03       5.067794e-03       1.631631e-01       5.856436e-03       3.680637e-02
       32000       1.390242e-02       1.004542e-03       7.491109e-03       1.315710e-01       8.404977e-03       3.595988e-02
       34000       1.279760e-02       9.851592e-04       7.014780e-03       1.823130e-01       7.498202e-03       3.844049e-02
       36000       8.977909e-03       3.342254e-04       4.972053e-03       1.181755e-01       8.163057e-03       3.288754e-02
       38000       1.025512e-02       6.247205e-04       5.520380e-03       1.286278e-01       9.112393e-03       3.430613e-02
       40000       6.562838e-03       1.945774e-04       3.545480e-03       1.888996e-01       8.967691e-03       3.527822e-02
       42000       9.546770e-03       5.641888e-04       4.634766e-03       1.106901e-01       7.829031e-03       3.404309e-02
       44000       1.032238e-02       3.440201e-04       5.500386e-03       2.292872e-01       8.908113e-03       3.528954e-02
       46000       7.752205e-03       6.346086e-04       4.440180e-03       1.603206e-01       8.039814e-03       3.497278e-02
       48000       1.156684e-02       6.068071e-04       6.383056e-03       1.380022e-01       6.407189e-03       3.715366e-02
       50000       1.182012e-02       5.249469e-04       6.416406e-03       2.768897e-01       9.045653e-03       3.846634e-02
       52000       9.942099e-03       6.561454e-04       5.482155e-03       1.660039e-01       6.781381e-03       3.617550e-02
       54000       1.302587e-02       9.861075e-04       7.181072e-03       1.517879e-01       7.434038e-03       3.779837e-02
       56000       9.792014e-03       2.426247e-04       5.539104e-03       1.772175e-01       9.612747e-03       3.616528e-02
       58000       8.596228e-03       7.831135e-04       4.835575e-03       1.429632e-01       6.454334e-03       3.502374e-02
       60000       1.067076e-02       3.875906e-04       6.019906e-03       1.535542e-01       6.241721e-03       3.639537e-02
       62000       7.695772e-03       3.412524e-04       4.371537e-03       1.704095e-01       8.450741e-03       3.727384e-02
       64000       9.684031e-03       9.403736e-04       5.281808e-03       2.002526e-01       9.190775e-03       3.979705e-02
       66000       8.249981e-03       7.270378e-04       4.707487e-03       1.872575e-01       6.031339e-03       3.855274e-02
       68000       9.940567e-03       9.270306e-04       4.990617e-03       1.593653e-01       6.447598e-03       3.552182e-02
       70000       1.180692e-02       8.447145e-04       6.266098e-03       1.531223e-01       7.462818e-03       3.772679e-02
       72000       1.018476e-02       3.716084e-04       5.573766e-03       1.766151e-01       4.763391e-03       3.801508e-02
       74000       1.216656e-02       7.136027e-04       6.596457e-03       1.224893e-01       4.362925e-03       3.329668e-02
       76000       1.137521e-02       9.996531e-04       6.157452e-03       1.424100e-01       8.637801e-03       3.576812e-02
       78000       1.063498e-02       5.116576e-04       5.995592e-03       2.027948e-01       8.442878e-03       3.309954e-02
       80000       9.273592e-03       6.976499e-04       5.032816e-03       1.386516e-01       7.166001e-03       3.276540e-02
       82000       9.077595e-03       8.825618e-04       4.999549e-03       1.696330e-01       7.921949e-03       3.553508e-02
       84000       7.869139e-03       8.888305e-04       4.468708e-03       1.394866e-01       1.122769e-02       3.402193e-02
       86000       1.289977e-02       3.620995e-04       7.100238e-03       1.245182e-01       1.028049e-02       3.499345e-02
       88000       1.092184e-02       7.207867e-04       5.663386e-03       1.723162e-01       9.268355e-03       3.502809e-02
       90000       1.155810e-02       4.671670e-04       6.273754e-03       1.554882e-01       1.052900e-02       3.732669e-02
       92000       6.616722e-03       6.861997e-04       3.844501e-03       1.241844e-01       6.752172e-03       3.236416e-02
       94000       9.545913e-03       6.903401e-04       4.839986e-03       1.542552e-01       8.846640e-03       3.645622e-02
       96000       8.542407e-03       9.237508e-04       4.828792e-03       1.784760e-01       8.599307e-03       3.690620e-02
       98000       8.416490e-03       9.853043e-04       4.573765e-03       1.847034e-01       8.044224e-03       3.851741e-02
      100000       7.145084e-03       3.548612e-04       3.887043e-03       1.758163e-01       7.607941e-03       3.899976e-02
      102000       6.912032e-03       5.555874e-04       3.595597e-03       1.630900e-01       8.394215e-03       3.318906e-02
      104000       5.370926e-03       9.094926e-04       3.115984e-03       1.889226e-01       7.603241e-03       3.911295e-02
      106000       1.185345e-02       7.901172e-04       6.492223e-03       3.284240e-01       9.507268e-03       4.300086e-02
      108000       7.879559e-03       4.332063e-04       4.530413e-03       1.829592e-01       7.442711e-03       3.755379e-02
      110000       8.648095e-03       1.005386e-03       4.853570e-03       1.781402e-01       7.605772e-03       3.613333e-02
      112000       8.531936e-03       5.292547e-04       4.494088e-03       1.660268e-01       5.961629e-03       3.296004e-02
      114000       1.196832e-02       6.438575e-04       6.588153e-03       1.620585e-01       9.519273e-03       3.684073e-02
      116000       1.047320e-02       4.489901e-04       5.383864e-03       2.554200e-01       6.549811e-03       4.014479e-02
      118000       9.549327e-03       7.218666e-04       5.462359e-03       1.839156e-01       5.031471e-03       3.933690e-02
      120000       3.818001e-03       5.466691e-04       2.067491e-03       1.651447e-01       7.454424e-03       3.389573e-02
      122000       1.222457e-02       5.378361e-04       6.674751e-03       1.193180e-01       8.432166e-03       3.545601e-02
      124000       8.888018e-03       1.087490e-03       4.736632e-03       3.065318e-01       9.512741e-03       4.838223e-02
      126000       5.841172e-03       4.190109e-04       2.913013e-03       1.487852e-01       6.474583e-03       3.415665e-02
      128000       1.135482e-02       1.098201e-03       6.607037e-03       1.505151e-01       7.765248e-03       3.550827e-02
      130000       8.794229e-03       9.332024e-04       5.047638e-03       2.103112e-01       5.728838e-03       4.090059e-02
      132000       7.105607e-03       3.972809e-04       3.637626e-03       1.850373e-01       8.290867e-03       3.783459e-02
      134000       9.026462e-03       3.616675e-04       4.703635e-03       1.409244e-01       8.288525e-03       3.480523e-02
      136000       1.542310e-02       6.877194e-04       8.213307e-03       1.386441e-01       8.178273e-03       3.535396e-02
      138000       5.928608e-03       6.264562e-04       3.406474e-03       1.793245e-01       7.204884e-03       3.513271e-02
      140000       1.134513e-02       3.430890e-04       5.874369e-03       1.889548e-01       7.734705e-03       3.835522e-02
      142000       9.352138e-03       5.186318e-04       4.995880e-03       1.528222e-01       8.483406e-03       3.719045e-02
      144000       7.052465e-03       3.231285e-04       3.950749e-03       1.099576e-01       7.315164e-03       3.203107e-02
      146000       1.009215e-02       2.250739e-04       5.508511e-03       1.849518e-01       5.917150e-03       3.455475e-02
      148000       8.682086e-03       6.451330e-04       4.770696e-03       2.125027e-01       8.419823e-03       3.870159e-02
      150000       1.248568e-02       6.630168e-04       6.915582e-03       1.871701e-01       1.000063e-02       4.063597e-02
      152000       1.280067e-02       1.889007e-04       6.978192e-03       1.332590e-01       7.498358e-03       3.869927e-02
      154000       1.565137e-02       9.500570e-04       8.728218e-03       1.288232e-01       9.015438e-03       3.533830e-02
      156000       8.391805e-03       8.522329e-04       4.515593e-03       1.413856e-01       7.186101e-03       3.280814e-02
      158000       1.029336e-02       4.853302e-04       5.617557e-03       1.832421e-01       7.216591e-03       3.621847e-02
      160000       7.545827e-03       7.008360e-04       4.226798e-03       1.355341e-01       6.990277e-03       3.679749e-02
      162000       1.335950e-02       8.641828e-04       7.151731e-03       1.628256e-01       6.974239e-03       3.790014e-02
      164000       5.420477e-03       6.552024e-04       3.091620e-03       1.764700e-01       9.885648e-03       3.688297e-02
